Cycle ID,Charge Voltage,Discharge Voltage,Overvoltage
1,3.685045150501672,3.3976799331103678,0.2873652173913044
1,3.8043628762541806,3.5620177257525083,0.24234515050167227
2,3.5241899665551837,3.39832508361204,0.12586488294314346
2,3.672819397993311,3.5626528428093645,0.11016655518394636
3,3.5229227424749165,3.3984896321070233,0.12443311036789328
3,3.670605016722408,3.562847491638796,0.10775752508361203
4,3.5218531772575252,3.403820066889632,0.1180331103678931
4,3.6713591973244144,3.562796321070234,0.10856287625418037
5,3.5231769230769228,3.39881872909699,0.12435819397993297
5,3.6703341137123746,3.563236789297659,0.10709732441471553
6,3.521408695652174,3.404464882943144,0.11694381270903031
6,3.6697565217391306,3.55794983277592,0.11180668896321055
7,3.521708695652174,3.3991478260869568,0.12256086956521717
7,3.670805685618729,3.563626086956522,0.10717959866220683
8,3.521501337792642,3.4041511705685616,0.11735016722408043
8,3.6714678929765885,3.563185618729097,0.10828227424749137
9,3.5229628762541805,3.404464882943144,0.11849799331103661
9,3.669675919732441,3.55794983277592,0.11172608695652109
10,3.520554849498328,3.398338127090301,0.12221672240802706
10,3.6715648829431435,3.562796321070234,0.10876856187290951
11,3.5228334448160536,3.403654515050167,0.11917892976588673
11,3.6703943143812707,3.5626016722408025,0.10779264214046824
12,3.520977591973244,3.403654515050167,0.11732307692307709
12,3.665148829431438,3.5626016722408025,0.10254715719063556
13,3.5237,3.404133779264214,0.11956622073578593
13,3.6719,3.55756254180602,0.11433745819398
14,3.5223903010033446,3.3981735785953173,0.12421672240802728
14,3.6784919732441472,3.5626016722408025,0.11589030100334474
15,3.5207234113712373,3.3984896321070233,0.12223377926421408
15,3.673392307692308,3.562847491638796,0.11054481605351185
16,3.523829765886288,3.3979959866220737,0.12583377926421413
16,3.6728384615384613,3.5622635451505014,0.11057491638795991
17,3.5234745819397992,3.3976120401337795,0.12586254180601975
17,3.6725615384615384,3.5563361204013377,0.1162254180602007
18,3.522882608695652,3.3972959866220735,0.12558662207357862
18,3.6721,3.5560879598662205,0.11601204013377941
19,3.5221722408026754,3.397282943143813,0.12488929765886247
19,3.671546153846154,3.555948829431438,0.11559732441471571
20,3.5250605351170567,3.3971183946488295,0.12794214046822727
20,3.678478595317726,3.5557551839464887,0.12272341137123721
21,3.5245307692307692,3.396802341137124,0.12772842809364526
21,3.6703923076923077,3.555507023411371,0.1148852842809367
22,3.5234123745819397,3.396802341137124,0.1266100334448157
22,3.6733602006688963,3.5609795986622075,0.11238060200668887
23,3.5230591973244145,3.3966377926421405,0.12642140468227403
23,3.6730852842809365,3.560784949832776,0.11230033444816057
24,3.52270602006689,3.3966377926421405,0.12606822742474932
24,3.6728103678929767,3.560784949832776,0.11202541806020072
25,3.5250916387959865,3.39783143812709,0.12726020066889632
25,3.6716648829431437,3.556594314381271,0.11507056856187292
26,3.524213712374582,3.39783143812709,0.12638227424749182
26,3.6709775919732444,3.556594314381271,0.11438327759197353
27,3.7173240802675585,3.3913591973244146,0.32596488294314385
27,3.7250484949832776,3.5544127090301,0.17063578595317752
28,3.5347100334448163,3.3903591973244147,0.14435083612040156
28,3.68002508361204,3.547977591973244,0.13204749163879592
29,3.541774247491639,3.382380602006689,0.15939364548495005
29,3.6939882943143814,3.544781939799331,0.14920635451505015
30,3.5412535117056856,3.3879715719063546,0.15328193979933102
30,3.6935879598662207,3.545114715719064,0.1484732441471568
31,3.539459866220736,3.383588628762542,0.15587123745819387
31,3.6883903010033445,3.546341137123746,0.14204916387959843
32,3.5373190635451506,3.3908785953177256,0.14644046822742496
32,3.679069899665552,3.5376628762541804,0.14140702341137157
33,3.536566889632107,3.391043143812709,0.1455237458193981
33,3.678478595317726,3.554166889632107,0.12431170568561889
34,3.532207692307692,3.3918528428093646,0.14035484949832755
34,3.6780692307692306,3.5441204013377927,0.13394882943143793
35,3.5305782608695653,3.3925789297658864,0.1379993311036789
35,3.6806434782608695,3.5450899665551843,0.1355535117056852
36,3.5297053511705685,3.393072575250836,0.13663277591973255
36,3.679966220735786,3.5456678929765886,0.13429832775919737
37,3.5287742474916386,3.3884317725752506,0.14034247491638796
37,3.67924381270903,3.5410458193979935,0.13819799331103644
38,3.536740468227425,3.390646153846154,0.14609431438127096
38,3.678615050167224,3.537276923076923,0.1413381270903007
39,3.534773244147157,3.3918528428093646,0.1429204013377925
39,3.680914381270903,3.5441204013377927,0.13679397993311015
40,3.5335581939799328,3.3925789297658864,0.14097926421404638
40,3.679966220735786,3.5450899665551843,0.13487625418060167
41,3.5315909698996655,3.3937177257525084,0.13787324414715707
41,3.67843110367893,3.546303678929766,0.13212742474916395
42,3.530491638795987,3.393730769230769,0.13676086956521782
42,3.673702675585284,3.5464384615384614,0.12726421404682275
43,3.5299709030100335,3.394046822742475,0.13592408026755853
43,3.6732933110367894,3.5466889632107024,0.12660434782608698
44,3.529797324414716,3.3945953177257526,0.1352020066889632
44,3.67703143812709,3.54733110367893,0.12970033444815998
45,3.5295658862876254,3.394759866220736,0.13480602006688924
45,3.6729749163879597,3.5475237458193982,0.12545117056856148
46,3.528524414715719,3.3897946488294317,0.13872976588628738
46,3.67215618729097,3.5371839464882946,0.13497224080267545
47,3.5366632107023412,3.3908785953177256,0.14578461538461562
47,3.679379264214047,3.5376628762541804,0.14171638795986663
48,3.5315909698996655,3.391865886287625,0.13972508361204028
48,3.67843110367893,3.5496976588628764,0.12873344481605375
49,3.533441806020067,3.3928949832775923,0.14054682274247465
49,3.680726755852843,3.545340468227425,0.1353862876254177
50,3.5288715719063544,3.3937177257525084,0.13515384615384596
50,3.6724290969899664,3.546303678929766,0.12612541806020028
